date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,277.95,286.55,273.2,284.1,30195397
2024-06-04 00:00:00+05:30,285.0,285.0,223.0,236.3,72779900
2024-06-05 00:00:00+05:30,247.0,249.75,230.45,247.5,37078551
2024-06-06 00:00:00+05:30,254.0,259.5,249.25,252.3,30881233
2024-06-07 00:00:00+05:30,253.5,260.8,251.8,260.4,22010688
2024-06-10 00:00:00+05:30,264.0,264.0,258.05,259.15,14138524
2024-06-11 00:00:00+05:30,266.85,275.0,265.25,273.55,47270206
2024-06-12 00:00:00+05:30,278.0,279.1,274.6,275.5,20560662
2024-06-13 00:00:00+05:30,278.0,278.0,272.5,276.55,16013386
2024-06-14 00:00:00+05:30,277.0,278.2,274.6,275.4,10642648
2024-06-18 00:00:00+05:30,278.95,279.0,274.0,275.8,17044769
2024-06-19 00:00:00+05:30,275.9,276.6,271.1,271.55,13361607
2024-06-20 00:00:00+05:30,271.8,274.0,269.1,271.85,12826509
2024-06-21 00:00:00+05:30,271.45,274.75,268.9,269.65,17406416
2024-06-24 00:00:00+05:30,269.65,271.25,266.6,269.9,7282347
2024-06-25 00:00:00+05:30,270.1,270.8,265.0,267.0,14425434
2024-06-26 00:00:00+05:30,266.9,269.15,264.1,267.75,10650910
2024-06-27 00:00:00+05:30,267.4,268.1,263.5,267.5,22830930
2024-06-28 00:00:00+05:30,269.0,275.45,268.35,274.2,19532912
2024-07-01 00:00:00+05:30,275.0,275.8,271.6,272.95,11750972
2024-07-02 00:00:00+05:30,273.2,279.8,271.5,274.85,24470518
2024-07-03 00:00:00+05:30,276.0,277.7,274.0,274.7,9125400
2024-07-04 00:00:00+05:30,275.0,278.9,273.05,277.05,13444669
2024-07-05 00:00:00+05:30,277.25,289.3,276.5,288.2,39781962
2024-07-08 00:00:00+05:30,290.0,303.0,287.35,299.15,53136198
2024-07-09 00:00:00+05:30,300.8,301.85,293.35,297.45,18686252
2024-07-10 00:00:00+05:30,299.7,299.8,288.85,298.15,19278800
2024-07-11 00:00:00+05:30,300.0,307.2,295.15,304.75,36020507
2024-07-12 00:00:00+05:30,306.8,311.75,304.2,307.1,31788101
2024-07-15 00:00:00+05:30,311.8,323.65,308.65,322.5,51435537
2024-07-16 00:00:00+05:30,323.6,327.6,319.75,322.65,37468292
2024-07-18 00:00:00+05:30,325.1,333.3,321.65,331.7,48189915
2024-07-19 00:00:00+05:30,333.0,333.2,318.05,319.65,26579496
2024-07-22 00:00:00+05:30,320.0,323.35,314.5,320.8,22234557
2024-07-23 00:00:00+05:30,320.05,321.4,297.4,314.15,37871058
2024-07-24 00:00:00+05:30,313.05,325.75,312.1,319.55,28259305
2024-07-25 00:00:00+05:30,318.05,337.55,316.1,335.8,42054664
2024-07-26 00:00:00+05:30,336.5,338.5,330.1,331.6,25703985
2024-07-29 00:00:00+05:30,333.8,339.55,330.75,332.9,26721790
2024-07-30 00:00:00+05:30,332.0,338.25,331.0,331.9,19792253
2024-07-31 00:00:00+05:30,332.05,337.45,329.75,334.2,21393361
2024-08-01 00:00:00+05:30,337.8,344.7,337.15,341.75,36044960
2024-08-02 00:00:00+05:30,338.0,338.0,328.65,330.1,22939377
2024-08-05 00:00:00+05:30,320.35,323.3,306.0,310.25,37986023
2024-08-06 00:00:00+05:30,314.8,322.45,305.15,306.1,28386636
2024-08-07 00:00:00+05:30,312.4,330.95,312.0,329.1,66110716
2024-08-08 00:00:00+05:30,329.0,329.0,321.7,322.7,23478224
2024-08-09 00:00:00+05:30,333.95,335.85,328.2,332.55,29814474
2024-08-12 00:00:00+05:30,332.75,344.7,329.9,341.3,34754596
2024-08-13 00:00:00+05:30,344.1,345.0,332.95,335.9,28943385
2024-08-14 00:00:00+05:30,335.85,336.5,326.8,328.15,17812763
2024-08-16 00:00:00+05:30,332.55,335.75,328.65,329.6,16584396
2024-08-19 00:00:00+05:30,335.0,338.75,333.55,335.3,19636518
2024-08-20 00:00:00+05:30,335.85,336.0,328.05,330.1,14972714
2024-08-21 00:00:00+05:30,330.65,331.5,326.5,327.7,11835143
2024-08-22 00:00:00+05:30,328.55,330.5,323.6,324.35,13387819
2024-08-23 00:00:00+05:30,324.4,324.8,317.55,318.9,13229612
2024-08-26 00:00:00+05:30,323.5,329.1,322.8,327.85,21346682
2024-08-27 00:00:00+05:30,329.4,332.55,326.0,328.85,20165503
2024-08-28 00:00:00+05:30,328.65,330.3,324.65,327.8,12446738
2024-08-29 00:00:00+05:30,326.1,330.15,324.95,329.6,13799961
2024-08-30 00:00:00+05:30,330.45,334.4,329.55,330.75,19666466
2024-09-02 00:00:00+05:30,330.0,331.95,325.8,326.2,8975511
2024-09-03 00:00:00+05:30,327.0,328.0,321.65,322.2,10321111
2024-09-04 00:00:00+05:30,315.0,316.2,308.4,314.4,25397204
2024-09-05 00:00:00+05:30,316.95,316.95,310.15,311.4,15571640
2024-09-06 00:00:00+05:30,311.5,313.15,303.7,308.8,27946491
2024-09-09 00:00:00+05:30,308.7,308.7,294.65,298.9,30369085
2024-09-10 00:00:00+05:30,300.1,301.5,295.0,295.6,15618589
2024-09-11 00:00:00+05:30,292.4,292.4,283.25,285.3,44826300
2024-09-12 00:00:00+05:30,288.0,294.75,286.5,294.05,21964895
2024-09-13 00:00:00+05:30,295.7,297.25,291.05,291.45,13672371
2024-09-16 00:00:00+05:30,294.8,295.4,291.35,292.5,10971110
2024-09-17 00:00:00+05:30,293.7,296.6,292.15,294.65,11873436
2024-09-18 00:00:00+05:30,297.6,297.8,287.9,290.4,13421760
2024-09-19 00:00:00+05:30,287.4,289.2,282.5,285.25,17067311
2024-09-20 00:00:00+05:30,287.0,289.05,285.2,286.25,16585530
2024-09-23 00:00:00+05:30,288.4,296.4,287.55,295.45,14621229
2024-09-24 00:00:00+05:30,296.3,302.0,294.7,299.45,16986759
2024-09-25 00:00:00+05:30,299.45,301.2,296.7,298.7,10609614
2024-09-26 00:00:00+05:30,297.05,298.7,291.5,295.2,27812412
2024-09-27 00:00:00+05:30,292.7,298.45,289.7,297.2,35706130
2024-09-30 00:00:00+05:30,297.0,301.8,293.75,297.6,16294341
2024-10-01 00:00:00+05:30,297.0,299.15,290.7,291.95,10919818
2024-10-03 00:00:00+05:30,295.0,298.0,290.55,292.05,28124665
2024-10-04 00:00:00+05:30,297.0,299.7,293.2,295.25,23104209
2024-10-07 00:00:00+05:30,296.0,296.3,281.5,289.45,20917962
2024-10-08 00:00:00+05:30,288.15,293.9,280.55,293.45,10572360
2024-10-09 00:00:00+05:30,291.25,291.9,286.85,288.5,13147475
2024-10-10 00:00:00+05:30,288.7,292.15,287.55,288.75,7237212
2024-10-11 00:00:00+05:30,291.3,293.65,289.5,292.55,7011704
2024-10-14 00:00:00+05:30,292.7,292.9,285.15,286.5,12690951
2024-10-15 00:00:00+05:30,286.4,286.4,280.85,283.7,15087155
2024-10-16 00:00:00+05:30,283.0,287.25,280.65,285.4,18188885
2024-10-17 00:00:00+05:30,285.0,287.6,280.95,281.6,13343303
2024-10-18 00:00:00+05:30,282.0,284.5,279.2,283.3,14028398
2024-10-21 00:00:00+05:30,281.15,284.0,274.55,276.6,10299773
2024-10-22 00:00:00+05:30,278.0,278.15,270.0,270.8,10028511
2024-10-23 00:00:00+05:30,270.0,274.4,265.05,270.85,18823321
2024-10-24 00:00:00+05:30,271.9,272.45,268.35,269.1,7488521
2024-10-25 00:00:00+05:30,270.0,270.3,261.6,264.05,12961181
2024-10-28 00:00:00+05:30,260.65,265.05,255.3,263.35,13835091
2024-10-29 00:00:00+05:30,263.35,265.55,259.4,265.0,9122757
2024-10-30 00:00:00+05:30,265.0,266.2,261.05,261.65,11166643
2024-10-31 00:00:00+05:30,263.4,268.3,261.15,266.15,16173656
2024-11-01 00:00:00+05:30,269.8,274.0,268.65,271.75,2955757
2024-11-04 00:00:00+05:30,274.0,274.35,260.15,265.3,14355959
2024-11-05 00:00:00+05:30,265.2,268.6,263.6,267.4,11676017
2024-11-06 00:00:00+05:30,267.7,270.6,264.4,269.05,19244545
2024-11-07 00:00:00+05:30,270.5,270.5,264.8,265.2,6766663
2024-11-08 00:00:00+05:30,265.95,266.5,259.65,262.55,7836093
2024-11-11 00:00:00+05:30,262.35,262.35,256.0,256.9,8450657
2024-11-12 00:00:00+05:30,260.85,263.2,255.4,256.15,22445400
2024-11-13 00:00:00+05:30,256.15,256.95,249.0,252.55,17483332
2024-11-14 00:00:00+05:30,252.55,254.3,249.0,250.8,12454540
2024-11-18 00:00:00+05:30,251.1,252.1,247.1,250.65,14636541
2024-11-19 00:00:00+05:30,250.0,255.4,247.1,248.0,17397559
2024-11-21 00:00:00+05:30,248.0,248.0,240.8,242.15,16189440
2024-11-22 00:00:00+05:30,244.8,246.95,243.5,245.6,9637581
2024-11-25 00:00:00+05:30,248.5,260.5,247.95,257.9,31973671
2024-11-26 00:00:00+05:30,256.95,258.25,252.55,254.25,9242451
2024-11-27 00:00:00+05:30,255.0,255.5,250.55,254.3,11689970
2024-11-28 00:00:00+05:30,255.0,257.4,251.2,252.2,14202863
2024-11-29 00:00:00+05:30,253.8,258.65,252.25,256.7,11476347
2024-12-02 00:00:00+05:30,255.5,258.3,252.7,257.55,13677959
2024-12-03 00:00:00+05:30,260.4,264.7,258.85,262.35,15345326
2024-12-04 00:00:00+05:30,263.85,264.3,260.0,260.7,10713838
2024-12-05 00:00:00+05:30,260.7,263.25,256.9,261.3,12896743
2024-12-06 00:00:00+05:30,260.8,263.0,259.55,260.05,8783386
2024-12-09 00:00:00+05:30,260.05,261.35,257.7,258.9,6800856
2024-12-10 00:00:00+05:30,257.65,258.75,254.5,256.9,11318782
2024-12-11 00:00:00+05:30,257.5,258.7,255.65,256.6,5353032
2024-12-12 00:00:00+05:30,258.0,258.6,253.6,254.05,7123877
2024-12-13 00:00:00+05:30,253.0,256.8,249.5,254.25,11143128
2024-12-16 00:00:00+05:30,254.0,256.3,251.2,251.8,7283872
2024-12-17 00:00:00+05:30,251.75,252.45,246.5,247.4,10066884
2024-12-18 00:00:00+05:30,247.4,247.5,243.4,244.15,8430930
2024-12-19 00:00:00+05:30,240.0,243.95,238.55,241.85,9518542
2024-12-20 00:00:00+05:30,241.5,244.15,235.3,237.1,15556528
2024-12-23 00:00:00+05:30,238.25,242.3,236.85,240.85,7722901
2024-12-24 00:00:00+05:30,241.0,243.25,238.6,238.95,3577400
2024-12-26 00:00:00+05:30,240.0,242.0,239.0,240.25,6330006
2024-12-27 00:00:00+05:30,240.0,241.0,236.3,236.9,6487888
2024-12-30 00:00:00+05:30,236.05,237.0,231.15,232.65,19401112
2024-12-31 00:00:00+05:30,232.65,239.9,232.35,239.25,12004845
2025-01-01 00:00:00+05:30,237.81,239.24,236.35,236.95,9418453
2025-01-02 00:00:00+05:30,237.05,246.78,237.0,246.07,19745810
2025-01-03 00:00:00+05:30,248.45,262.75,247.99,258.89,49760410
2025-01-06 00:00:00+05:30,259.11,259.5,251.45,254.36,19265884
2025-01-07 00:00:00+05:30,259.15,267.4,258.05,263.49,52956766
2025-01-08 00:00:00+05:30,266.45,273.5,265.75,271.33,42237794
2025-01-09 00:00:00+05:30,272.03,272.59,261.71,263.18,14706472
2025-01-10 00:00:00+05:30,264.0,266.5,258.47,263.02,13053552
2025-01-13 00:00:00+05:30,266.03,268.6,254.61,255.73,20416370
2025-01-14 00:00:00+05:30,257.52,262.0,256.82,260.37,8470150
2025-01-15 00:00:00+05:30,260.9,264.47,257.69,258.18,9344731
2025-01-16 00:00:00+05:30,260.0,265.63,260.0,263.18,14195450
2025-01-17 00:00:00+05:30,262.0,267.0,261.3,266.57,12148143
2025-01-20 00:00:00+05:30,268.1,270.47,265.01,269.36,9676264
2025-01-21 00:00:00+05:30,268.05,269.35,264.81,265.8,8989218
2025-01-22 00:00:00+05:30,266.0,266.39,261.71,264.05,7919682
2025-01-23 00:00:00+05:30,263.0,263.83,261.17,263.05,5026675
2025-01-24 00:00:00+05:30,262.99,265.64,255.75,256.51,6306281
2025-01-27 00:00:00+05:30,255.0,256.44,249.51,250.78,6944911
2025-01-28 00:00:00+05:30,250.0,252.4,246.71,248.68,8029472
2025-01-29 00:00:00+05:30,248.9,252.0,247.0,251.4,5651586
2025-01-30 00:00:00+05:30,252.0,259.4,250.94,256.72,12588155
2025-01-31 00:00:00+05:30,257.01,263.49,255.21,262.61,8850307
2025-02-01 00:00:00+05:30,259.55,262.5,253.75,257.7,10907165
2025-02-03 00:00:00+05:30,255.6,256.35,244.85,249.0,25719512
2025-02-04 00:00:00+05:30,252.4,257.5,252.0,254.1,8402532
2025-02-05 00:00:00+05:30,259.0,263.0,257.75,261.65,11590755
2025-02-06 00:00:00+05:30,262.65,262.95,254.3,256.15,12327998
2025-02-07 00:00:00+05:30,252.95,253.85,247.5,248.9,10098454
2025-02-10 00:00:00+05:30,248.95,249.6,241.8,242.45,7582536
2025-02-11 00:00:00+05:30,242.45,242.45,236.8,238.95,6711630
2025-02-12 00:00:00+05:30,239.0,241.25,234.15,237.4,5985956
2025-02-13 00:00:00+05:30,238.5,239.45,234.2,234.95,10079210
2025-02-14 00:00:00+05:30,235.0,237.95,226.75,230.5,8065352
2025-02-17 00:00:00+05:30,230.2,234.3,225.05,233.65,6692422
2025-02-18 00:00:00+05:30,232.2,237.15,229.55,236.6,6170974
2025-02-19 00:00:00+05:30,236.0,238.8,234.5,238.3,6168581
2025-02-20 00:00:00+05:30,236.8,242.65,236.5,241.9,8929816
2025-02-21 00:00:00+05:30,241.9,243.05,238.1,239.9,5697387
2025-02-24 00:00:00+05:30,236.3,237.95,234.0,234.35,6883143
2025-02-25 00:00:00+05:30,235.0,236.7,232.55,233.0,5519036
2025-02-27 00:00:00+05:30,233.5,233.85,228.5,231.0,9664032
2025-02-28 00:00:00+05:30,230.0,230.5,223.15,225.25,17237276
2025-03-03 00:00:00+05:30,224.75,226.0,218.36,225.13,11928529
2025-03-04 00:00:00+05:30,220.1,227.75,215.48,226.76,12428265
2025-03-05 00:00:00+05:30,227.12,231.25,226.76,228.94,7466729
2025-03-06 00:00:00+05:30,231.49,233.57,226.71,232.6,10439208
2025-03-07 00:00:00+05:30,232.6,236.47,231.17,232.89,9079049
2025-03-10 00:00:00+05:30,232.89,235.0,222.48,223.19,16489167
2025-03-11 00:00:00+05:30,220.9,227.26,220.1,226.72,10941588
2025-03-12 00:00:00+05:30,227.1,228.84,222.36,224.4,6994310
2025-03-13 00:00:00+05:30,228.15,230.4,224.87,225.43,16105085
2025-03-17 00:00:00+05:30,226.52,230.45,226.24,229.74,8789001
2025-03-18 00:00:00+05:30,230.84,232.5,228.52,232.12,9647391
2025-03-19 00:00:00+05:30,232.5,235.14,231.6,232.57,8626593
2025-03-20 00:00:00+05:30,233.48,237.04,232.01,235.59,18955995
2025-03-21 00:00:00+05:30,235.8,248.0,235.8,242.42,29285333
2025-03-24 00:00:00+05:30,244.19,246.4,242.75,243.83,10566066
2025-03-25 00:00:00+05:30,244.01,245.37,240.55,242.25,8915800
2025-03-26 00:00:00+05:30,243.35,244.5,239.37,239.72,7543985
2025-03-27 00:00:00+05:30,238.87,243.4,238.65,242.17,9935664
2025-03-28 00:00:00+05:30,243.44,254.9,243.26,246.38,32905564
2025-04-01 00:00:00+05:30,247.0,252.2,246.7,248.07,11258957
2025-04-02 00:00:00+05:30,250.05,251.5,248.0,250.64,15337906
2025-04-03 00:00:00+05:30,248.0,249.62,242.51,243.31,11141370
2025-04-04 00:00:00+05:30,240.56,241.21,224.2,226.01,38336194
2025-04-07 00:00:00+05:30,208.0,220.8,205.0,219.84,27024128
2025-04-08 00:00:00+05:30,223.0,227.24,219.18,226.66,11309092
2025-04-09 00:00:00+05:30,222.0,224.06,220.26,221.94,16889575
2025-04-11 00:00:00+05:30,228.3,231.4,225.25,230.37,13886447
2025-04-15 00:00:00+05:30,234.0,234.0,230.1,232.69,12102239
2025-04-16 00:00:00+05:30,232.69,242.0,231.72,241.22,18748952
2025-04-17 00:00:00+05:30,241.0,244.61,239.26,243.49,12891813
2025-04-21 00:00:00+05:30,244.01,250.55,241.75,249.78,11698653
2025-04-22 00:00:00+05:30,248.97,250.6,247.26,247.78,9896443
2025-04-23 00:00:00+05:30,248.74,252.75,244.92,252.17,16555874
2025-04-24 00:00:00+05:30,250.0,251.37,248.0,249.37,6538518
2025-04-25 00:00:00+05:30,249.0,250.68,244.4,246.33,15616265
2025-04-28 00:00:00+05:30,246.0,251.95,244.38,250.6,7669983
2025-04-29 00:00:00+05:30,251.24,252.1,245.1,245.68,8030552
2025-04-30 00:00:00+05:30,245.5,247.44,242.22,244.45,9822483
2025-05-02 00:00:00+05:30,241.0,246.27,239.0,243.42,12347590
2025-05-05 00:00:00+05:30,240.0,241.15,234.5,239.2,20086323
2025-05-06 00:00:00+05:30,241.13,242.99,236.0,237.0,11350559
2025-05-07 00:00:00+05:30,232.3,240.09,232.07,238.67,16689539
2025-05-08 00:00:00+05:30,237.66,239.34,231.4,233.22,15026122
2025-05-09 00:00:00+05:30,229.1,235.3,228.45,234.96,11184507
2025-05-12 00:00:00+05:30,239.0,244.6,238.11,244.02,11374237
2025-05-13 00:00:00+05:30,244.15,245.29,240.29,241.16,9336026
2025-05-14 00:00:00+05:30,241.16,246.9,241.16,246.01,8234859
2025-05-15 00:00:00+05:30,244.95,248.92,242.3,247.61,16812750
2025-05-16 00:00:00+05:30,247.06,249.39,246.2,247.27,8030229
2025-05-19 00:00:00+05:30,248.0,249.45,244.91,246.58,8043270
2025-05-20 00:00:00+05:30,246.79,252.7,246.79,249.26,13183059
2025-05-21 00:00:00+05:30,251.5,251.95,247.76,248.68,7158307
2025-05-22 00:00:00+05:30,248.68,250.48,239.61,241.67,18502235
2025-05-23 00:00:00+05:30,242.5,244.68,240.15,244.24,8725218
2025-05-26 00:00:00+05:30,245.3,247.13,244.81,245.94,7159571
2025-05-27 00:00:00+05:30,246.85,246.85,242.92,244.54,9712093
2025-05-28 00:00:00+05:30,244.64,245.34,241.3,242.67,7385958
2025-05-29 00:00:00+05:30,243.6,244.6,241.35,243.04,12938112
2025-05-30 00:00:00+05:30,243.04,245.19,238.89,239.4,10108840
2025-06-02 00:00:00+05:30,239.0,240.09,237.66,238.31,6278145
2025-06-03 00:00:00+05:30,240.5,241.05,236.6,237.27,9515918
2025-06-04 00:00:00+05:30,238.0,238.5,235.5,238.05,6733580
2025-06-05 00:00:00+05:30,238.05,239.62,236.22,237.77,8941808
2025-06-06 00:00:00+05:30,237.79,240.47,237.51,240.06,5985346
2025-06-09 00:00:00+05:30,241.78,244.12,240.5,242.8,7719525
2025-06-10 00:00:00+05:30,244.25,245.0,242.59,244.68,7659657
2025-06-11 00:00:00+05:30,244.5,250.4,243.55,247.32,20842417
2025-06-12 00:00:00+05:30,251.5,255.2,246.75,247.88,35613271
2025-06-13 00:00:00+05:30,255.55,255.95,249.12,251.51,39320377
2025-06-16 00:00:00+05:30,253.99,257.5,252.19,256.79,41444122
2025-06-17 00:00:00+05:30,256.94,257.09,251.55,252.31,18781097
2025-06-18 00:00:00+05:30,254.03,255.89,249.77,250.36,12691905
2025-06-19 00:00:00+05:30,250.5,253.0,248.2,251.56,10790997
2025-06-20 00:00:00+05:30,252.26,253.25,249.35,251.89,15907673
2025-06-23 00:00:00+05:30,253.01,255.49,250.33,251.38,16776881
2025-06-24 00:00:00+05:30,247.5,248.0,243.49,243.92,22215004
2025-06-25 00:00:00+05:30,244.0,245.3,241.5,241.91,13056178
2025-06-26 00:00:00+05:30,242.0,245.37,241.54,244.73,15769123
2025-06-27 00:00:00+05:30,245.01,246.22,242.0,242.83,21691960
2025-06-30 00:00:00+05:30,244.0,245.7,243.0,244.21,8783448
